Date,Open Price,Close Price,High Price,Low Price,Volume
11-Dec-12,2598.5,2624.03,2625.38,2593.39,0
12-Dec-12,2624.01,2630.34,2633.58,2620.43,0
13-Dec-12,2633.56,2627.66,2638.64,2621.18,0
14-Dec-12,2628.06,2630.54,2635.65,2622.37,0
17-Dec-12,2627.72,2628.01,2632.93,2611.89,0
18-Dec-12,2634,2643.5,2647.3,2632.51,0
19-Dec-12,2648.75,2654.69,2661.25,2645.41,0
20-Dec-12,2650.03,2658.3,2661.92,2643.88,0
21-Dec-12,2649.95,2651.09,2653.56,2634.87,0
27-Dec-12,2650.91,2659.95,2668.23,2648.29,0
28-Dec-12,2660.89,2626.85,2664.37,2626.41,0
02-Jan-13,2659.79,2711.25,2711.25,2659.79,0
03-Jan-13,2705.8,2701.22,2705.8,2689.3,0
04-Jan-13,2696.94,2709.35,2711.02,2690.11,0
07-Jan-13,2712.25,2695.56,2714.18,2691.04,0
08-Jan-13,2690.91,2691.45,2710.2,2684.9,0
09-Jan-13,2697.51,2706.39,2710.49,2691,0
10-Jan-13,2705.6,2708.27,2725.38,2693.93,0
11-Jan-13,2712.78,2717.79,2719.99,2702.72,0
14-Jan-13,2725.41,2715.16,2735.36,2707.36,0
15-Jan-13,2709.91,2701.59,2715.95,2690.24,0
16-Jan-13,2699.21,2702.54,2704.8,2685.27,0
17-Jan-13,2699.47,2718.93,2727.04,2697.06,0
18-Jan-13,2723.88,2709.59,2731.04,2707.35,0
21-Jan-13,2715,2726.63,2726.63,2712.99,0
22-Jan-13,2724.44,2716.7,2727.42,2697.32,0
23-Jan-13,2720.06,2708.28,2724.35,2703.49,0
24-Jan-13,2707.85,2722.96,2724.67,2692.15,0
25-Jan-13,2721.5,2744.18,2748.13,2716.09,0
28-Jan-13,2745.96,2744.5,2753.93,2741.74,0
29-Jan-13,2744.79,2749.27,2750.89,2731.02,0
30-Jan-13,2750.61,2732.12,2754.8,2724.85,0
31-Jan-13,2728.94,2702.98,2730.51,2702.98,0
01-Feb-13,2706.22,2710.08,2718.56,2696.64,0
04-Feb-13,2712.67,2625.17,2712.67,2625.17,0
05-Feb-13,2622.83,2651.21,2660.5,2622.65,0
06-Feb-13,2649.51,2617.35,2658.47,2604.63,0
07-Feb-13,2617.93,2597.92,2639.74,2597.49,0
08-Feb-13,2603.1,2630.3,2631.82,2598.29,0
11-Feb-13,2631.38,2622.61,2641.58,2613.39,0
12-Feb-13,2619.77,2648.83,2648.83,2613.26,0
13-Feb-13,2651.26,2656.86,2666.65,2641.63,0
14-Feb-13,2655.84,2635.35,2666.25,2625.91,0
15-Feb-13,2634.24,2615.26,2642.95,2615.26,0
18-Feb-13,2610.81,2616.65,2618.27,2597.65,0
19-Feb-13,2612.65,2662.37,2664.5,2611.01,0
20-Feb-13,2662.24,2640.35,2670.69,2634.39,0
21-Feb-13,2629.62,2579.76,2629.62,2579.68,0
22-Feb-13,2590.02,2630.05,2630.46,2590.02,0
25-Feb-13,2642.81,2651.86,2699.95,2633.95,0
26-Feb-13,2619.89,2570.52,2619.89,2566.87,0
27-Feb-13,2580.04,2611.89,2612,2563.64,0
28-Feb-13,2619.01,2633.55,2637.7,2609.23,0
01-Mar-13,2627.93,2616.75,2638.32,2589.84,0
04-Mar-13,2607.97,2619.78,2628.67,2595.35,0
05-Mar-13,2635.34,2683.02,2685.85,2635.34,0
06-Mar-13,2683.24,2679.89,2704.01,2679.03,0
07-Mar-13,2684.7,2690.85,2700.84,2683.4,0
08-Mar-13,2699.3,2728.78,2733.86,2699.3,0
11-Mar-13,2723.74,2718.71,2723.74,2706.32,0
12-Mar-13,2712.93,2711.85,2724.63,2702.51,0
13-Mar-13,2709.65,2704.73,2710.13,2693.6,0
14-Mar-13,2718.14,2744.7,2744.7,2718.14,0
15-Mar-13,2745.04,2725.72,2746.02,2714.76,0
18-Mar-13,2695.62,2705.47,2709.32,2663.2,0
19-Mar-13,2698.84,2671.96,2701.29,2660.43,0
20-Mar-13,2686.83,2708.9,2712.8,2684.22,0
21-Mar-13,2705.57,2683.92,2706.27,2667.8,0
22-Mar-13,2680.96,2681.67,2702.14,2662.89,0
25-Mar-13,2700.96,2649.28,2726.01,2642.02,0
26-Mar-13,2652.59,2641.12,2661.26,2632.46,0
27-Mar-13,2647.65,2612.46,2653.85,2590.03,0
28-Mar-13,2613.2,2624.02,2641.58,2602.63,0
02-Apr-13,2622.24,2679.8,2680.34,2622.24,0
03-Apr-13,2669.63,2639.01,2676.9,2637.23,0
04-Apr-13,2645.02,2621.43,2670.42,2616.44,0
05-Apr-13,2622.72,2585.28,2634.94,2566.74,0
08-Apr-13,2591.84,2589.25,2604.93,2586.47,0
09-Apr-13,2602.79,2595.13,2614.16,2584.5,0
10-Apr-13,2603.61,2661.62,2666.79,2602.77,0
11-Apr-13,2659.84,2674.33,2681.95,2650.4,0
12-Apr-13,2669.58,2633.47,2669.58,2627.07,0
15-Apr-13,2633.38,2624.71,2647.53,2603.41,0
16-Apr-13,2615.27,2609.3,2634.01,2600.32,0
17-Apr-13,2619.38,2553.49,2626.32,2543.07,0
18-Apr-13,2561.06,2555.5,2580.43,2542.1,0
19-Apr-13,2565.89,2575.16,2588.36,2560.92,0
22-Apr-13,2584.65,2583.62,2602.57,2569.9,0
23-Apr-13,2585.56,2662.88,2662.88,2585.07,0
24-Apr-13,2664.15,2702.05,2706.82,2662.22,0
25-Apr-13,2695.52,2704.41,2709.57,2686.01,0
26-Apr-13,2689.87,2683.43,2692.78,2670.34,0
29-Apr-13,2690.07,2717.38,2718.91,2689,0
30-Apr-13,2722.6,2712,2735.53,2704.41,0
02-May-13,2702.68,2718.9,2745.38,2688.59,0
03-May-13,2724.14,2763.68,2764.17,2710.52,0
06-May-13,2762,2750.52,2762,2746.47,0
07-May-13,2756.17,2769.08,2777.96,2750.67,0
08-May-13,2767.77,2784.62,2784.99,2761.65,0
09-May-13,2773.62,2773.16,2780.81,2760.16,0
10-May-13,2775.75,2785.24,2805.3,2773.59,0
13-May-13,2783.7,2777.39,2791.81,2764.75,0
14-May-13,2780.63,2795.63,2795.63,2760.93,0
15-May-13,2790.63,2809.58,2809.83,2782.83,0
16-May-13,2805.07,2806.7,2815.77,2794.19,0
17-May-13,2803.64,2817.99,2825.44,2791.83,0
20-May-13,2822.55,2824.5,2826.3,2803.01,0
21-May-13,2817.13,2821.65,2823.12,2797.61,0
22-May-13,2821.4,2835.01,2840.57,2805.65,0
23-May-13,2802.09,2776.78,2802.09,2757.29,0
24-May-13,2784.95,2764.29,2793.92,2752.09,0
27-May-13,2774.77,2795,2795.07,2774.77,0
28-May-13,2801.23,2835.87,2851.48,2801.23,0
29-May-13,2819.69,2786.54,2820.7,2783.71,0
30-May-13,2782.66,2799.2,2812.97,2778.91,0
31-May-13,2799.21,2769.64,2799.21,2760.19,0
03-Jun-13,2757.65,2747.74,2788.22,2728.89,0
04-Jun-13,2760.82,2755.7,2779.15,2751.13,0
05-Jun-13,2741.56,2709.33,2753.29,2709.33,0
06-Jun-13,2709.5,2676.21,2729.41,2676.21,0
07-Jun-13,2680.82,2724.08,2733.96,2664.07,0
10-Jun-13,2719.18,2719.4,2734.29,2708.72,0
11-Jun-13,2707.13,2683.2,2707.13,2656,0
12-Jun-13,2681.38,2666.52,2701.22,2663.89,0
13-Jun-13,2647.66,2661.71,2666.49,2617.48,0
14-Jun-13,2670.61,2667.32,2687.19,2660.98,0
17-Jun-13,2673.63,2702.69,2718.03,2673.63,0
18-Jun-13,2691.83,2700.93,2709.99,2686.21,0
19-Jun-13,2702.86,2683.98,2709.41,2678.03,0
20-Jun-13,2651.89,2586.45,2651.89,2582.14,0
21-Jun-13,2595.66,2549.48,2613.13,2549.48,0
24-Jun-13,2549.48,2511.83,2556.28,2494.54,0
25-Jun-13,2532.51,2543.37,2554.77,2526.78,0
26-Jun-13,2545.68,2602.81,2607.55,2536.7,0
27-Jun-13,2602.05,2619.86,2633.58,2587.81,0
28-Jun-13,2626.23,2602.59,2635.9,2591.12,0
01-Jul-13,2619.36,2622.62,2637.64,2590.92,0
02-Jul-13,2626.46,2603.2,2627.4,2595.56,0
03-Jul-13,2586.67,2570.76,2586.67,2539.15,0
04-Jul-13,2588.51,2646.54,2648.31,2581.69,0
05-Jul-13,2649.04,2596.01,2660.19,2596.01,0
08-Jul-13,2612.05,2650.85,2664.92,2612.05,0
09-Jul-13,2660.51,2664.14,2675.27,2654.51,0
10-Jul-13,2661.22,2659.71,2670.12,2639.55,0
11-Jul-13,2679.87,2681.32,2695.45,2671.69,0
12-Jul-13,2688.39,2674.87,2697.45,2666.34,0
15-Jul-13,2678.83,2686.69,2697.79,2675.23,0
16-Jul-13,2690.17,2665.61,2692.14,2662.81,0
17-Jul-13,2669.81,2681.88,2690.09,2645.61,0
18-Jul-13,2677.01,2717.99,2719.03,2672.33,0
19-Jul-13,2711.2,2716.17,2716.91,2698.06,0
22-Jul-13,2718.78,2725.4,2734.2,2712.31,0
23-Jul-13,2728.8,2722.9,2742.16,2722.47,0
24-Jul-13,2727.86,2752.25,2759.5,2727.86,0
25-Jul-13,2753.31,2740.29,2753.33,2719.16,0
26-Jul-13,2750.48,2741.96,2766.65,2733.69,0
29-Jul-13,2754.04,2741.73,2762.71,2736.83,0
30-Jul-13,2750.27,2759.21,2764.36,2743.3,0
31-Jul-13,2749.67,2768.15,2773.6,2747.71,0
01-Aug-13,2774.12,2808.64,2809.15,2774.12,0
02-Aug-13,2816.14,2811,2819.14,2796.53,0
05-Aug-13,2815.26,2809.08,2821.39,2800.53,0
06-Aug-13,2809.18,2790.78,2820.62,2777.16,0
07-Aug-13,2784.81,2794.44,2798.39,2775.19,0
08-Aug-13,2797.35,2816.88,2819.88,2792.62,0
09-Aug-13,2821.54,2825.62,2834.57,2806.05,0
12-Aug-13,2826.12,2827.15,2832.83,2802.41,0
13-Aug-13,2832.57,2841.61,2845.13,2828.96,0
14-Aug-13,2844.77,2852.08,2855.89,2835.59,0
15-Aug-13,2849.36,2835.86,2849.36,2810.5,0
16-Aug-13,2834.31,2854.27,2855.03,2824.9,0
19-Aug-13,2853.81,2823.35,2854.35,2821.44,0
20-Aug-13,2813.95,2787.98,2813.95,2770.18,0
21-Aug-13,2794.39,2774.58,2797.68,2773.06,0
22-Aug-13,2775.62,2812.32,2821.59,2775.62,0
23-Aug-13,2811.3,2826.05,2828.97,2794.2,0
26-Aug-13,2825.46,2821.45,2827.32,2803.84,0
27-Aug-13,2809.15,2749.27,2818.69,2749.27,0
28-Aug-13,2743.54,2742.61,2754.27,2720.57,0
29-Aug-13,2750.72,2758.31,2760.12,2732.88,0
30-Aug-13,2758.07,2721.37,2758.28,2721.37,0
02-Sep-13,2741.08,2774.09,2780.74,2741.08,0
03-Sep-13,2774.64,2753.35,2778.32,2735.69,0
04-Sep-13,2758.79,2758.29,2764.84,2725.56,0
05-Sep-13,2761.9,2774.2,2777.88,2748.56,0
06-Sep-13,2770.36,2803.42,2803.83,2762.2,0
09-Sep-13,2801.63,2798.31,2804.77,2787.74,0
10-Sep-13,2816.13,2851.4,2853.04,2816.13,0
11-Sep-13,2847.47,2863.44,2863.95,2845.29,0
12-Sep-13,2862.76,2862.07,2870.18,2849.9,0
13-Sep-13,2856.58,2867.11,2869.52,2849.51,0
16-Sep-13,2882.12,2894.64,2901.43,2882.12,0
17-Sep-13,2890.49,2890.95,2896.07,2878.1,0
18-Sep-13,2893.76,2908.92,2909.42,2888.36,0
19-Sep-13,2930.92,2936.2,2955.47,2922.65,0
20-Sep-13,2931.1,2927.19,2944.12,2925.5,0
23-Sep-13,2928.8,2906.35,2936.09,2897.43,0
24-Sep-13,2907.79,2922.93,2925.49,2906.68,0
25-Sep-13,2918.81,2927.35,2929.15,2907.42,0
26-Sep-13,2930.19,2922.99,2934.22,2909.55,0
27-Sep-13,2926.11,2919.34,2933.05,2904.81,0
30-Sep-13,2899.41,2893.15,2899.41,2877.87,0
01-Oct-13,2893.66,2933.02,2933.02,2893.66,0
02-Oct-13,2923.54,2918.31,2930.58,2902.03,0
03-Oct-13,2919.88,2902.12,2926.72,2899.45,0
04-Oct-13,2902.26,2928.31,2934.9,2898.3,0
07-Oct-13,2917.07,2923.04,2925.08,2891.39,0
08-Oct-13,2920.87,2903.35,2929.86,2902.7,0
09-Oct-13,2899.03,2904.73,2923.18,2895.67,0
10-Oct-13,2918.98,2969.41,2971.15,2918.98,0
11-Oct-13,2974.86,2974.28,2977.31,2964.81,0
14-Oct-13,2963.48,2977.69,2977.69,2957.7,0
15-Oct-13,2985.1,3004.56,3007.94,2984.45,0
16-Oct-13,2993.74,3015.4,3018.49,2989.2,0
17-Oct-13,3009.55,3010.39,3011.31,2988.36,0
18-Oct-13,3020.45,3033.31,3033.31,3009.66,0
21-Oct-13,3030.06,3028.65,3033.27,3019.64,0
22-Oct-13,3023.2,3045.77,3056.87,3021.41,0
23-Oct-13,3034.8,3017.16,3034.8,3010.55,0
24-Oct-13,3024.69,3038.96,3038.96,3022.28,0
25-Oct-13,3027.84,3034.5,3043.84,3021.01,0
28-Oct-13,3041.16,3022.04,3045.14,3009.8,0
29-Oct-13,3019.65,3050.64,3050.74,3017.73,0
30-Oct-13,3049.09,3040.69,3073.88,3035.02,0
31-Oct-13,3034.93,3067.95,3067.97,3030.48,0
01-Nov-13,3068.73,3052.14,3074.44,3047.53,0
04-Nov-13,3058.29,3061.18,3067.92,3054.75,0
05-Nov-13,3066.59,3035.92,3067.97,3021.41,0
06-Nov-13,3041.24,3056.4,3065.1,3041.24,0
07-Nov-13,3052.43,3042.98,3106.64,3035.37,0
08-Nov-13,3028.36,3034.91,3038.42,2999.25,0
11-Nov-13,3038.65,3052.83,3056.6,3027.84,0
12-Nov-13,3051.92,3034.68,3060.64,3034.68,0
13-Nov-13,3026.94,3021.17,3036.97,3000.35,0
14-Nov-13,3040.97,3053.69,3056.03,3029.74,0
15-Nov-13,3053.22,3054.53,3060.74,3042.62,0
18-Nov-13,3051.17,3081.3,3091.04,3042.81,0
19-Nov-13,3070.05,3049.17,3070.05,3048,0
20-Nov-13,3044.98,3047.32,3064.55,3033.63,0
21-Nov-13,3031.86,3044.34,3050.98,3016.67,0
22-Nov-13,3048.76,3055.98,3059.99,3035.73,0
25-Nov-13,3065.7,3072.75,3077.99,3064.73,0
26-Nov-13,3069.61,3062.62,3076.26,3061.95,0
27-Nov-13,3066.6,3082.65,3088.75,3064.93,0
28-Nov-13,3081.56,3092.42,3098.63,3081.56,0
29-Nov-13,3091.03,3086.64,3097.94,3086.64,0
02-Dec-13,3089.39,3077.23,3094.54,3070.94,0
03-Dec-13,3074.79,3013.88,3075.56,3013.88,0
04-Dec-13,3020.28,2991.76,3025.92,2971.15,0
05-Dec-13,2985.41,2953.17,2998.17,2953.17,0
06-Dec-13,2960.09,2979.94,2985.09,2940.9,0
09-Dec-13,2987.3,2988.67,2993.41,2973.52,0
10-Dec-13,2985,2960.86,2999.28,2959.28,0
11-Dec-13,2960.45,2947.31,2978.55,2944.76,0
12-Dec-13,2934.9,2928.12,2945.39,2920.12,0
13-Dec-13,2927.14,2921.92,2942.27,2916.7,0
16-Dec-13,2919.95,2978.77,2983.98,2919.14,0
17-Dec-13,2969.19,2941.76,2969.19,2941.76,0
18-Dec-13,2954.66,2975.09,2975.09,2949.49,0
19-Dec-13,2989.91,3031.05,3033.6,2989.91,0
20-Dec-13,3033.52,3049.35,3053.3,3029.54,0
23-Dec-13,3054.85,3070.91,3070.91,3047.68,0
27-Dec-13,3086.77,3111.37,3111.37,3086.77,0
30-Dec-13,3112.98,3100.93,3116.23,3097.76,0
02-Jan-14,3116.34,3059.93,3127.12,3058.63,0
03-Jan-14,3064.95,3074.43,3080.35,3055.13,0
06-Jan-14,3070.14,3069.16,3087.65,3065.29,0
07-Jan-14,3071.01,3110.96,3113.03,3064.83,0
08-Jan-14,3113.97,3110.66,3121.21,3100.53,0
09-Jan-14,3110.85,3090.26,3131.18,3082.08,0
10-Jan-14,3097.72,3104.15,3122.55,3092.98,0
13-Jan-14,3112.86,3111.94,3117.06,3101.38,0
14-Jan-14,3093.81,3119.53,3119.53,3072.86,0
15-Jan-14,3123.58,3168.76,3168.76,3123.58,0
16-Jan-14,3169.09,3150.2,3170.03,3146.98,0
17-Jan-14,3150.7,3154.1,3167.43,3141.82,0
20-Jan-14,3152.24,3153.17,3155.94,3138.28,0
